epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1361.32,1.14962,1.58233,0.71662,0.90693,0.92036,0.91719,0.92754,0.59317,0.90448,0.90182,0.8886,0.46574,1.25512,2.19097,0.91002,1.04727,0.000344075,0.000344075,0.000344075
65,1381.78,1.24257,1.68441,0.77913,0.92915,0.92036,0.91719,0.92754,0.59317,0.90448,0.90182,0.8886,0.46574,1.25512,2.19097,0.91002,1.04727,0.0003416,0.0003416,0.0003416
66,1410.55,1.18594,1.6094,0.76481,0.96719,0.91603,0.90476,0.9285,0.59425,0.88302,0.87302,0.87685,0.46368,1.25231,2.14933,0.84992,1.03753,0.000339125,0.000339125,0.000339125
67,1432.73,1.15671,1.58631,0.79754,0.92058,0.91603,0.90476,0.9285,0.59425,0.88302,0.87302,0.87685,0.46368,1.25231,2.14933,0.84992,1.03753,0.00033665,0.00033665,0.00033665
68,1453.03,1.13201,1.49229,0.73399,0.95842,0.91603,0.90476,0.9285,0.59425,0.88302,0.87302,0.87685,0.46368,1.25231,2.14933,0.84992,1.03753,0.000334175,0.000334175,0.000334175
69,1473.15,1.19233,1.59155,0.78592,0.99297,0.91603,0.90476,0.9285,0.59425,0.88302,0.87302,0.87685,0.46368,1.25231,2.14933,0.84992,1.03753,0.0003317,0.0003317,0.0003317
70,1493.37,1.0939,1.36376,0.71231,0.90012,0.88908,0.89066,0.90987,0.58565,0.87332,0.87543,0.88936,0.45344,1.26654,2.19867,0.84105,1.04563,0.000329225,0.000329225,0.000329225
71,1514.7,1.2105,1.59684,0.76808,0.97335,0.88908,0.89066,0.90987,0.58565,0.87332,0.87543,0.88936,0.45344,1.26654,2.19867,0.84105,1.04563,0.00032675,0.00032675,0.00032675
72,1535.53,1.06238,1.45625,0.72076,0.91338,0.88908,0.89066,0.90987,0.58565,0.87332,0.87543,0.88936,0.45344,1.26654,2.19867,0.84105,1.04563,0.000324275,0.000324275,0.000324275
73,1558.26,1.22315,1.64189,0.76028,0.91906,0.88908,0.89066,0.90987,0.58565,0.87332,0.87543,0.88936,0.45344,1.26654,2.19867,0.84105,1.04563,0.0003218,0.0003218,0.0003218
74,1579.51,1.18219,1.52551,0.7467,0.92029,0.8891,0.89083,0.90642,0.57574,0.87843,0.87302,0.87594,0.45364,1.26042,2.22147,0.83015,1.04552,0.000319325,0.000319325,0.000319325
75,1604.71,1.17606,1.57411,0.75356,0.90829,0.8891,0.89083,0.90642,0.57574,0.87843,0.87302,0.87594,0.45364,1.26042,2.22147,0.83015,1.04552,0.00031685,0.00031685,0.00031685
76,1627.98,1.19149,1.55859,0.73357,0.92577,0.8891,0.89083,0.90642,0.57574,0.87843,0.87302,0.87594,0.45364,1.26042,2.22147,0.83015,1.04552,0.000314375,0.000314375,0.000314375
77,1649.24,1.13169,1.55252,0.74159,0.92212,0.8891,0.89083,0.90642,0.57574,0.87843,0.87302,0.87594,0.45364,1.26042,2.22147,0.83015,1.04552,0.0003119,0.0003119,0.0003119
78,1669.95,1.08482,1.47439,0.71829,0.92394,0.89437,0.88889,0.89607,0.60489,0.89437,0.88889,0.89742,0.47661,1.23898,2.1185,0.81744,1.03142,0.000309425,0.000309425,0.000309425
79,1689.57,1.08319,1.51613,0.72038,0.87914,0.89437,0.88889,0.89607,0.60489,0.89437,0.88889,0.89742,0.47661,1.23898,2.1185,0.81744,1.03142,0.00030695,0.00030695,0.00030695
80,1711.63,1.18997,1.59995,0.77222,0.92149,0.89437,0.88889,0.89607,0.60489,0.89437,0.88889,0.89742,0.47661,1.23898,2.1185,0.81744,1.03142,0.000304475,0.000304475,0.000304475
81,1732.3,1.12713,1.53623,0.71806,0.92918,0.89437,0.88889,0.89607,0.60489,0.89437,0.88889,0.89742,0.47661,1.23898,2.1185,0.81744,1.03142,0.000302,0.000302,0.000302
82,1753.51,1.16084,1.58751,0.74212,0.94407,0.90701,0.90476,0.9185,0.59847,0.90701,0.90476,0.90877,0.47744,1.24129,2.04313,0.81172,1.02539,0.000299525,0.000299525,0.000299525
83,1777.61,1.09561,1.57167,0.70526,0.93329,0.90701,0.90476,0.9185,0.59847,0.90701,0.90476,0.90877,0.47744,1.24129,2.04313,0.81172,1.02539,0.00029705,0.00029705,0.00029705
84,1798.12,1.14516,1.56999,0.73962,0.95861,0.90701,0.90476,0.9185,0.59847,0.90701,0.90476,0.90877,0.47744,1.24129,2.04313,0.81172,1.02539,0.000294575,0.000294575,0.000294575
85,1817.87,1.00739,1.48306,0.75891,0.91549,0.90701,0.90476,0.9185,0.59847,0.90701,0.90476,0.90877,0.47744,1.24129,2.04313,0.81172,1.02539,0.0002921,0.0002921,0.0002921
86,1838.13,1.06561,1.40086,0.71758,0.91349,0.91054,0.90476,0.91748,0.60676,0.8782,0.87302,0.87377,0.4745,1.23794,2.01725,0.79547,1.02069,0.000289625,0.000289625,0.000289625
87,1858.49,1.06703,1.43497,0.71699,0.93743,0.91054,0.90476,0.91748,0.60676,0.8782,0.87302,0.87377,0.4745,1.23794,2.01725,0.79547,1.02069,0.00028715,0.00028715,0.00028715
88,1878.69,1.12072,1.48358,0.73129,0.91069,0.91054,0.90476,0.91748,0.60676,0.8782,0.87302,0.87377,0.4745,1.23794,2.01725,0.79547,1.02069,0.000284675,0.000284675,0.000284675
89,1900.03,1.09017,1.47325,0.70168,0.9308,0.91054,0.90476,0.91748,0.60676,0.8782,0.87302,0.87377,0.4745,1.23794,2.01725,0.79547,1.02069,0.0002822,0.0002822,0.0002822
90,1920.49,1.04892,1.38934,0.71388,0.878,0.92056,0.91968,0.91665,0.60348,0.88881,0.88819,0.87237,0.48035,1.23556,2.00185,0.79061,1.01753,0.000279725,0.000279725,0.000279725
91,1944.59,1.08903,1.47366,0.69168,0.91046,0.92056,0.91968,0.91665,0.60348,0.88881,0.88819,0.87237,0.48035,1.23556,2.00185,0.79061,1.01753,0.00027725,0.00027725,0.00027725
92,1965.58,1.13945,1.5559,0.7067,0.94005,0.92056,0.91968,0.91665,0.60348,0.88881,0.88819,0.87237,0.48035,1.23556,2.00185,0.79061,1.01753,0.000274775,0.000274775,0.000274775
93,1986.37,1.08955,1.46316,0.73162,0.91897,0.92056,0.91968,0.91665,0.60348,0.88881,0.88819,0.87237,0.48035,1.23556,2.00185,0.79061,1.01753,0.0002723,0.0002723,0.0002723
94,2011.55,1.14334,1.55331,0.69453,0.90403,0.90596,0.91749,0.92579,0.60095,0.90596,0.91749,0.92283,0.49124,1.22512,1.9386,0.77185,1.00873,0.000269825,0.000269825,0.000269825
95,2031.56,1.00231,1.41376,0.71344,0.93146,0.90596,0.91749,0.92579,0.60095,0.90596,0.91749,0.92283,0.49124,1.22512,1.9386,0.77185,1.00873,0.00026735,0.00026735,0.00026735
96,2058.16,1.20811,1.60504,0.72527,0.90688,0.90596,0.91749,0.92579,0.60095,0.90596,0.91749,0.92283,0.49124,1.22512,1.9386,0.77185,1.00873,0.000264875,0.000264875,0.000264875
97,2082.44,1.15345,1.51973,0.71409,0.91073,0.90596,0.91749,0.92579,0.60095,0.90596,0.91749,0.92283,0.49124,1.22512,1.9386,0.77185,1.00873,0.0002624,0.0002624,0.0002624
98,2103.47,1.1116,1.46462,0.66173,0.9117,0.93426,0.90236,0.94112,0.60073,0.93426,0.90236,0.94268,0.48204,1.22132,1.89698,0.75489,1.00562,0.000259925,0.000259925,0.000259925
99,2124.36,1.16172,1.49874,0.69796,0.90063,0.93426,0.90236,0.94112,0.60073,0.93426,0.90236,0.94268,0.48204,1.22132,1.89698,0.75489,1.00562,0.00025745,0.00025745,0.00025745
100,2145.85,1.05144,1.46085,0.66279,0.89831,0.93426,0.90236,0.94112,0.60073,0.93426,0.90236,0.94268,0.48204,1.22132,1.89698,0.75489,1.00562,0.000254975,0.000254975,0.000254975
101,2166.03,0.98386,1.32816,0.65637,0.88843,0.93426,0.90236,0.94112,0.60073,0.93426,0.90236,0.94268,0.48204,1.22132,1.89698,0.75489,1.00562,0.0002525,0.0002525,0.0002525
102,2185.88,1.05144,1.42871,0.68184,0.9111,0.90589,0.91679,0.94347,0.60939,0.90589,0.91679,0.92582,0.47759,1.21793,1.9194,0.74048,1.00839,0.000250025,0.000250025,0.000250025
103,2205.68,1.10261,1.45586,0.71866,0.92906,0.90589,0.91679,0.94347,0.60939,0.90589,0.91679,0.92582,0.47759,1.21793,1.9194,0.74048,1.00839,0.00024755,0.00024755,0.00024755
104,2226.34,1.08244,1.42474,0.67722,0.89378,0.90589,0.91679,0.94347,0.60939,0.90589,0.91679,0.92582,0.47759,1.21793,1.9194,0.74048,1.00839,0.000245075,0.000245075,0.000245075
105,2250.32,1.12272,1.51728,0.732,0.92155,0.90589,0.91679,0.94347,0.60939,0.90589,0.91679,0.92582,0.47759,1.21793,1.9194,0.74048,1.00839,0.0002426,0.0002426,0.0002426
106,2270.04,1.07419,1.47026,0.66614,0.92622,0.93147,0.86304,0.91419,0.60684,0.93147,0.86304,0.9183,0.48131,1.2192,1.96045,0.7402,1.01482,0.000240125,0.000240125,0.000240125
107,2292.66,1.22259,1.64064,0.71837,0.94662,0.93147,0.86304,0.91419,0.60684,0.93147,0.86304,0.9183,0.48131,1.2192,1.96045,0.7402,1.01482,0.00023765,0.00023765,0.00023765
108,2314.69,1.07488,1.47839,0.65172,0.92808,0.93147,0.86304,0.91419,0.60684,0.93147,0.86304,0.9183,0.48131,1.2192,1.96045,0.7402,1.01482,0.000235175,0.000235175,0.000235175
109,2335.85,1.06937,1.40848,0.66627,0.92478,0.93147,0.86304,0.91419,0.60684,0.93147,0.86304,0.9183,0.48131,1.2192,1.96045,0.7402,1.01482,0.0002327,0.0002327,0.0002327
110,2360.99,1.07018,1.41961,0.64752,0.87726,0.93145,0.86279,0.92482,0.60529,0.93145,0.86279,0.92174,0.47609,1.21824,1.96416,0.7351,1.01926,0.000230225,0.000230225,0.000230225
111,2382.05,1.08113,1.47488,0.68216,0.88423,0.93145,0.86279,0.92482,0.60529,0.93145,0.86279,0.92174,0.47609,1.21824,1.96416,0.7351,1.01926,0.00022775,0.00022775,0.00022775
112,2404.73,1.13162,1.52526,0.69612,0.8849,0.93145,0.86279,0.92482,0.60529,0.93145,0.86279,0.92174,0.47609,1.21824,1.96416,0.7351,1.01926,0.000225275,0.000225275,0.000225275
113,2430.47,1.05797,1.44878,0.65117,0.8832,0.93145,0.86279,0.92482,0.60529,0.93145,0.86279,0.92174,0.47609,1.21824,1.96416,0.7351,1.01926,0.0002228,0.0002228,0.0002228
114,2449.96,0.98152,1.32391,0.67031,0.92829,0.89048,0.90342,0.92507,0.60006,0.89048,0.90342,0.92218,0.50469,1.21222,1.92413,0.7284,1.01442,0.000220325,0.000220325,0.000220325
115,2470.34,0.94414,1.23939,0.62334,0.9099,0.89048,0.90342,0.92507,0.60006,0.89048,0.90342,0.92218,0.50469,1.21222,1.92413,0.7284,1.01442,0.00021785,0.00021785,0.00021785
116,2490.4,1.01198,1.33138,0.64381,0.89373,0.89048,0.90342,0.92507,0.60006,0.89048,0.90342,0.92218,0.50469,1.21222,1.92413,0.7284,1.01442,0.000215375,0.000215375,0.000215375
117,2511.47,1.08718,1.47767,0.65488,0.8963,0.89048,0.90342,0.92507,0.60006,0.89048,0.90342,0.92218,0.50469,1.21222,1.92413,0.7284,1.01442,0.0002129,0.0002129,0.0002129
118,2533.22,1.09561,1.50132,0.68593,0.93456,0.94719,0.85406,0.92522,0.60467,0.94719,0.85406,0.92267,0.50368,1.20658,1.91074,0.72451,1.01408,0.000210425,0.000210425,0.000210425
119,2553.51,1.07045,1.44941,0.68344,0.91875,0.94719,0.85406,0.92522,0.60467,0.94719,0.85406,0.92267,0.50368,1.20658,1.91074,0.72451,1.01408,0.00020795,0.00020795,0.00020795
120,2575.26,1.12866,1.64232,0.69894,0.9708,0.94719,0.85406,0.92522,0.60467,0.94719,0.85406,0.92267,0.50368,1.20658,1.91074,0.72451,1.01408,0.000205475,0.000205475,0.000205475
121,2596.4,0.95889,1.29324,0.63844,0.88951,0.94719,0.85406,0.92522,0.60467,0.94719,0.85406,0.92267,0.50368,1.20658,1.91074,0.72451,1.01408,0.000203,0.000203,0.000203
122,2617.52,1.07027,1.45122,0.65631,0.95767,0.9474,0.85763,0.92525,0.60903,0.9474,0.85763,0.92271,0.50142,1.20619,1.91305,0.72185,1.01857,0.000200525,0.000200525,0.000200525
