epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,1688.6,1.17271,1.37593,0.50339,0.00159,0.34912,0.87392,0.7277,0.77784,0.46462,0.86829,0.723,0.77205,0.42408,1.39167,1.69377,0.59009,0.00208,0,0.000847611,0.000847611,0.000847611
79,1709.43,1.12286,1.3284,0.45532,0.00145,0.31326,0.88843,0.7277,0.78285,0.46264,0.87432,0.71852,0.77973,0.37646,1.4384,1.71906,0.55704,0.00209,0,0.000843851,0.000843851,0.000843851
80,1732.26,1.25805,1.51251,0.55219,0.00163,0.375,0.88646,0.73309,0.77103,0.45885,0.86943,0.719,0.76755,0.3718,1.45718,1.67866,0.58013,0.00214,0,0.000840054,0.000840054,0.000840054
81,1756.64,1.20682,1.36523,0.50826,0.00155,0.34816,0.8725,0.75117,0.78112,0.47671,0.85401,0.74178,0.78888,0.39982,1.34802,1.65235,0.55494,0.00197,0,0.00083622,0.00083622,0.00083622
82,1776.77,1.19205,1.40401,0.50715,0.00154,0.34564,0.85876,0.77074,0.79926,0.47806,0.85353,0.76605,0.80396,0.41132,1.3593,1.68696,0.53035,0.00198,0,0.000832349,0.000832349,0.000832349
83,1797.3,1.22727,1.43451,0.56436,0.00167,0.35067,0.87756,0.75117,0.80908,0.47064,0.86594,0.74178,0.82075,0.40886,1.35645,1.6731,0.5251,0.00195,0,0.000828443,0.000828443,0.000828443
84,1817.73,1.19334,1.35386,0.54963,0.00155,0.31653,0.84517,0.76056,0.78609,0.47595,0.83995,0.75587,0.78226,0.43043,1.36055,1.76626,0.52892,0.00204,0,0.000824502,0.000824502,0.000824502
85,1838.75,1.23412,1.38668,0.54404,0.00164,0.36527,0.89183,0.73239,0.78037,0.46912,0.87035,0.72491,0.77024,0.40732,1.34323,1.675,0.52769,0.00202,0,0.000820525,0.000820525,0.000820525
86,1859.85,1.25039,1.43642,0.54281,0.00153,0.39025,0.82513,0.76995,0.79485,0.47704,0.79952,0.76766,0.78492,0.38853,1.32757,1.65499,0.51106,0.00189,0,0.000816514,0.000816514,0.000816514
87,1880.06,1.24954,1.55251,0.55846,0.00151,0.38609,0.85437,0.77124,0.79839,0.48742,0.83992,0.78873,0.78904,0.40721,1.3286,1.73598,0.50383,0.00191,0,0.000812468,0.000812468,0.000812468
88,1900.78,1.20195,1.4791,0.53065,0.00152,0.38977,0.82802,0.76995,0.79287,0.49316,0.82802,0.76995,0.79842,0.42135,1.32523,1.66251,0.48303,0.0019,0,0.000808389,0.000808389,0.000808389
89,1921.07,1.30282,1.54583,0.55423,0.0016,0.36524,0.81691,0.79602,0.82508,0.49318,0.7885,0.80515,0.82705,0.41617,1.30851,1.6643,0.51398,0.00187,0,0.000804277,0.000804277,0.000804277
90,1941.3,1.13417,1.39492,0.50775,0.00148,0.34308,0.85443,0.76056,0.80177,0.48572,0.84583,0.75117,0.7994,0.42198,1.35352,1.67029,0.49224,0.00196,0,0.000800131,0.000800131,0.000800131
